transition,t0,t1,mmd,moment_error,sliced_wasserstein,mi_mean,mi_median,model,seed,ablation,prediction_finite_fraction,prediction_out_of_bounds_fraction,numerically_stable,prediction_diagnostics_origin,prediction_min,prediction_max
0.5_to_1,0.5,1.0,0.0290479399263858,0.009166988544166,0.010300638154149,0.9999998807907104,0.9999999403953552,,20260826,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,1.0
1_to_3,1.0,3.0,0.0365506745874881,0.0109472768381237,0.0112882228568196,0.9999998211860656,0.9999998211860656,,20260826,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,1.0
3_to_7,3.0,7.0,0.0815464034676551,0.023421062156558,0.0249384231865406,0.9999998211860656,0.999999701976776,,20260826,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,1.0
7_to_14,7.0,14.0,0.114136129617691,0.0312644876539707,0.0317166708409786,0.9999998211860656,0.9999998211860656,,20260826,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,1.0
14_to_28,14.0,28.0,0.0150289526209235,0.0015569110400974,0.0042267073877155,0.9999998807907104,0.9999999403953552,,20260826,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,1.0
0_to_0.25,0.0,0.25,0.1437762975692749,0.0415744632482528,0.0502731315791606,0.9999998807907104,0.9999998807907104,,20260827,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,1.0
0.25_to_0.5,0.25,0.5,0.0636179000139236,0.0202299635857343,0.0257834605872631,0.9999999403953552,0.9999998807907104,,20260827,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,1.0
0.5_to_1,0.5,1.0,0.0211907289922237,0.0062677105888724,0.005786548834294,0.9999998807907104,0.9999998807907104,,20260827,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,1.0
1_to_3,1.0,3.0,0.1393547803163528,0.0493328943848609,0.0451381579041481,0.9999999403953552,0.9999999403953552,,20260827,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,1.0
3_to_7,3.0,7.0,0.0068679153919219,0.0015047921333462,0.0024303977843374,0.9999998211860656,0.9999997615814208,,20260827,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,1.0
7_to_14,7.0,14.0,0.0061732926405966,0.0006870108190923,0.0010610899189487,0.9999998211860656,0.9999999403953552,,20260827,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,0.9925145506858826
14_to_28,14.0,28.0,0.0429503992199897,0.0111113805323839,0.0118492702022194,0.9999998807907104,0.9999999403953552,,20260827,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,1.0
0_to_0.25,0.0,0.25,0.0893900245428085,0.0242632199078798,0.0315308719873428,0.9999998807907104,0.9999998211860656,,20260828,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,1.0
0.25_to_0.5,0.25,0.5,0.0307490862905979,0.008622576482594,0.0092223770916461,0.9999999403953552,0.9999998211860656,,20260828,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,1.0
0.5_to_1,0.5,1.0,0.0191988199949264,0.0053683165460824,0.0064461003057658,0.9999998807907104,0.9999998211860656,,20260828,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,1.0
1_to_3,1.0,3.0,0.0425658337771892,0.0129999537020921,0.0135537832975387,0.9999999403953552,0.9999998211860656,,20260828,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,1.0
3_to_7,3.0,7.0,0.135765254497528,0.0427441969513893,0.0432448834180831,0.9999999403953552,0.9999997615814208,,20260828,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,0.9997482895851136
7_to_14,7.0,14.0,0.078154943883419,0.0214608814567327,0.0232900716364383,0.9999996423721312,0.9999996423721312,,20260828,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,1.0
14_to_28,14.0,28.0,0.0114856548607349,0.0016036219894886,0.0024234137963503,0.9999998807907104,0.9999998807907104,,20260828,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,1.0
0_to_0.25,0.0,0.25,0.0885906219482421,0.0238355454057455,0.0286984182894229,0.9999998807907104,0.9999998807907104,,20260829,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,1.0
0.25_to_0.5,0.25,0.5,0.0295591745525598,0.0083024082705378,0.0093694496899843,0.9999999403953552,0.9999998807907104,,20260829,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,1.0
0.5_to_1,0.5,1.0,0.0138742364943027,0.0037227412685751,0.0037381369620561,0.9999998807907104,0.9999999403953552,,20260829,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,1.0
1_to_3,1.0,3.0,0.0390667654573917,0.0121561158448457,0.0126317245885729,0.9999999403953552,0.9999998807907104,,20260829,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,1.0
3_to_7,3.0,7.0,0.004519822075963,0.0009752762271091,0.001448975643143,0.9999998807907104,0.9999998807907104,,20260829,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,1.0
7_to_14,7.0,14.0,0.010827150195837,0.0023519955575466,0.0031920487526804,0.9999998211860656,0.9999998807907104,,20260829,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,0.9747347831726074
14_to_28,14.0,28.0,0.032923262566328,0.0071866833604872,0.0089522739872336,0.9999999403953552,0.9999998807907104,,20260829,no_mechanism,1.0,0.0,True,measured_from_predictions,0.0,1.0
0_to_0.25,0.0,0.25,0.0651920586824417,0.0162706356495618,0.0234297551214694,0.084779068827629,0.0806299149990081,,20260825,no_graph,1.0,0.0,True,measured_from_predictions,0.0,1.0
0.25_to_0.5,0.25,0.5,0.0319105014204978,0.0090143159031867,0.0086876628920435,0.2001033574342727,0.1999623030424118,,20260825,no_graph,1.0,0.0,True,measured_from_predictions,0.0,1.0
0.5_to_1,0.5,1.0,0.0173669196665287,0.0046773292124271,0.0051985555328428,0.2835802733898163,0.2801070213317871,,20260825,no_graph,1.0,0.0,True,measured_from_predictions,0.0,1.0
1_to_3,1.0,3.0,0.0505592226982116,0.0141357108950614,0.017937084659934,0.3393293917179107,0.3268580138683319,,20260825,no_graph,1.0,0.0,True,measured_from_predictions,0.0,1.0
3_to_7,3.0,7.0,0.0600424893200397,0.0158412139862775,0.0197405945509672,0.471828818321228,0.4589405059814453,,20260825,no_graph,1.0,0.0,True,measured_from_predictions,0.0,1.0
7_to_14,7.0,14.0,0.1850644648075103,0.0507485531270504,0.0474374927580356,0.532687246799469,0.5272834300994873,,20260825,no_graph,1.0,0.0,True,measured_from_predictions,0.0,1.0
