case,seed,transition,t0,t1,horizon_days,validation_displacement_scale,maximum_validated_horizon_days,applied_displacement_scale,mmd,moment_error,sliced_wasserstein,raw_mmd,raw_moment_error,raw_sliced_wasserstein,persistence_mmd,persistence_moment_error,persistence_sliced_wasserstein
3.0,20260828,3_to_14,3.0,14.0,11.0,0.9951850705567654,2.0,0.18094274010123007,0.09372912347316742,0.025246385484933853,0.02584315463900566,0.5594857931137085,0.14785079658031464,0.15267357230186462,0.057144440710544586,0.016846533864736557,0.01884385384619236
3.0,20260828,3_to_28,3.0,28.0,25.0,0.9951850705567654,2.0,0.07961480564454124,0.1049441397190094,0.03078915923833847,0.035335246473550797,0.8801474571228027,0.23199886083602905,0.29824429750442505,0.08195638656616211,0.024463670328259468,0.02448132075369358
3.0,20260829,3_to_7,3.0,7.0,4.0,0.9651213497338044,2.0,0.4825606748669022,0.11500704288482666,0.03475309908390045,0.035269517451524734,0.23058485984802246,0.07093312591314316,0.07219646871089935,0.04610138013958931,0.014537124894559383,0.012906050309538841
3.0,20260829,3_to_14,3.0,14.0,11.0,0.9651213497338044,2.0,0.1754766090425099,0.09349994361400604,0.02517341822385788,0.037772491574287415,0.5459616780281067,0.1473592221736908,0.1256408989429474,0.057144440710544586,0.016846533864736557,0.021550968289375305
3.0,20260829,3_to_28,3.0,28.0,25.0,0.9651213497338044,2.0,0.07720970797870436,0.1041269451379776,0.03056805394589901,0.026086650788784027,0.8763515949249268,0.23162585496902466,0.3318081796169281,0.08195638656616211,0.024463670328259468,0.01929646171629429
7.0,20260825,7_to_14,7.0,14.0,7.0,1.0,4.0,0.5714285714285714,0.19588813185691833,0.06174159795045853,0.05731385946273804,0.2768581807613373,0.09104354679584503,0.10201419144868851,0.1186145544052124,0.03704420477151871,0.03351178020238876
7.0,20260825,7_to_28,7.0,28.0,21.0,1.0,4.0,0.19047619047619047,0.10473059117794037,0.030066004022955894,0.029141927137970924,0.418742835521698,0.11480618268251419,0.13223135471343994,0.07847250998020172,0.02369648963212967,0.028140300884842873
7.0,20260826,7_to_14,7.0,14.0,7.0,1.0,4.0,0.5714285714285714,0.46198248863220215,0.15419301390647888,0.15835557878017426,0.7925077676773071,0.3202512860298157,0.3320406377315521,0.1186145544052124,0.03704420477151871,0.03349386528134346
7.0,20260826,7_to_28,7.0,28.0,21.0,1.0,4.0,0.19047619047619047,0.1084103137254715,0.03136306628584862,0.02888859435915947,0.8639878034591675,0.26319631934165955,0.31012409925460815,0.07847250998020172,0.02369648963212967,0.01904941350221634
7.0,20260827,7_to_14,7.0,14.0,7.0,1.0,4.0,0.5714285714285714,0.1839422583580017,0.05909930169582367,0.060788821429014206,0.24556900560855865,0.08381375670433044,0.09865523129701614,0.1186145544052124,0.03704420477151871,0.043737106025218964
7.0,20260827,7_to_28,7.0,28.0,21.0,1.0,4.0,0.19047619047619047,0.11141126602888107,0.032244060188531876,0.04043608158826828,0.42691484093666077,0.13290947675704956,0.17764170467853546,0.07847250998020172,0.02369648963212967,0.028457285836338997
7.0,20260828,7_to_14,7.0,14.0,7.0,1.0,4.0,0.5714285714285714,0.3209710717201233,0.10379109531641006,0.11155553162097931,0.5233386754989624,0.19217458367347717,0.1896093487739563,0.1186145544052124,0.03704420477151871,0.0430053174495697
7.0,20260828,7_to_28,7.0,28.0,21.0,1.0,4.0,0.19047619047619047,0.10842764377593994,0.03131306171417236,0.03196362406015396,0.8489927053451538,0.2578044533729553,0.2799283564090729,0.07847250998020172,0.02369648963212967,0.026081524789333344
7.0,20260829,7_to_14,7.0,14.0,7.0,1.0,4.0,0.5714285714285714,0.45712804794311523,0.15135736763477325,0.15727978944778442,0.7854470014572144,0.3125254809856415,0.3984885513782501,0.1186145544052124,0.03704420477151871,0.03521471098065376
7.0,20260829,7_to_28,7.0,28.0,21.0,1.0,4.0,0.19047619047619047,0.10830415040254593,0.031267449259757996,0.03213835507631302,0.8767711520195007,0.26328974962234497,0.2336467206478119,0.07847250998020172,0.02369648963212967,0.021814344450831413
14.0,20260825,14_to_28,14.0,28.0,14.0,0.9762818150688868,7.0,0.4881409075344434,0.25267553329467773,0.060040876269340515,0.0780067890882492,0.6768196821212769,0.125358447432518,0.17519500851631165,0.10585517436265945,0.02976277470588684,0.034674979746341705
14.0,20260826,14_to_28,14.0,28.0,14.0,1.0,7.0,0.5,0.25870001316070557,0.06123559921979904,0.0952044352889061,0.667807936668396,0.12558463215827942,0.14864780008792877,0.10585517436265945,0.02976277470588684,0.028689930215477943
14.0,20260827,14_to_28,14.0,28.0,14.0,0.9624824692325252,7.0,0.4812412346162626,0.25001633167266846,0.05955807864665985,0.0876849889755249,0.6775829195976257,0.12584850192070007,0.17684322595596313,0.10585517436265945,0.02976277470588684,0.02758795954287052
14.0,20260828,14_to_28,14.0,28.0,14.0,0.9982479906635424,7.0,0.4991239953317712,0.2594849765300751,0.06135384365916252,0.07212452590465546,0.6830441951751709,0.12616579234600067,0.1557508260011673,0.10585517436265945,0.02976277470588684,0.04117964580655098
14.0,20260829,14_to_28,14.0,28.0,14.0,0.9894310015992209,7.0,0.49471550079961046,0.25701963901519775,0.060904696583747864,0.0751134604215622,0.6808502674102783,0.1260809600353241,0.17906375229358673,0.10585517436265945,0.02976277470588684,0.03315066173672676
