source,parameter,mean,ci_lower,ci_upper,std,coefficient_of_variation,sign_consistency,n_fits,n_folds
E1,mechanistic_gate_M,0.4896517604589462,0.48608273692429066,0.4927383488416672,0.005704684444708203,0.011650493075652897,1.0,10,0
E1,mechanistic_gate_V,0.49321136474609373,0.4902062889933586,0.49578448705375194,0.004785791015870044,0.009703326723490606,1.0,10,0
E1,residual_scale_A,0.10102828517556191,0.10040695147588849,0.10164025239646435,0.0010516406317246038,0.010409368325881362,1.0,10,0
E1,residual_scale_C,0.09973321557044983,0.09916322126984596,0.10041168728843332,0.0010714816314692406,0.01074347824183373,1.0,10,0
E1,residual_scale_F,0.10334507673978806,0.10150382123887539,0.1056788725219667,0.003595936222686416,0.03479542844349133,1.0,10,0
E1,residual_scale_I,0.10157337188720703,0.1011736605130136,0.10191962847486138,0.0006374586963985096,0.00627584458952865,1.0,10,0
E1,residual_scale_M,0.10014820247888565,0.0998263350315392,0.10047000940889121,0.0005579582413403454,0.005571325570800738,1.0,10,0
E1,residual_scale_V,0.10134491845965385,0.10002542050555348,0.10275069119408727,0.0022911927824991233,0.022607870402611887,1.0,10,0
E4,alpha_A,1.0156306982040406,1.0129376286268232,1.0181560879945757,0.005390596485819683,0.005307634453499662,1.0,15,3
E4,alpha_C,0.19540247718493145,0.19432152507205802,0.19638925410807134,0.002082486873182112,0.010657423095057383,1.0,15,3
E4,alpha_F,0.2005243678887685,0.19944368397196133,0.20169617950916288,0.0023225381449361988,0.011582323731470471,1.0,15,3
E4,alpha_I,0.1994427611430486,0.19891160177687803,0.19995977031687898,0.0010617930927398537,0.005323798600934389,1.0,15,3
E4,alpha_M,0.19293356041113535,0.19161719453831516,0.1941302546610435,0.0025660249236128946,0.013300044420186804,1.0,15,3
E4,alpha_V,0.19610960880915324,0.1954333925495545,0.19672790351013342,0.0013222094268213293,0.006742196034402657,1.0,15,3
E4,beta_A,0.49116572936375935,0.48957648570338885,0.4929458119471868,0.0034144664855204824,0.006951760437242792,1.0,15,3
E4,beta_C,0.10147925068934759,0.10127954461922248,0.10169995793451865,0.0004269628465754738,0.004207390611135964,1.0,15,3
E4,beta_F,0.10032263100147247,0.09985770631581545,0.1008159239590168,0.0009885218049321375,0.009853427836413386,1.0,15,3
E4,beta_I,0.2005443145831426,0.19966755827267965,0.201411714181304,0.0017600203377414762,0.008776216575373414,1.0,15,3
E4,beta_M,0.04949376607934634,0.04926846099396547,0.0497244462184608,0.00045863315218561726,0.009266483206195216,1.0,15,3
E4,beta_V,0.10100390315055847,0.10070892761150996,0.10129897834112246,0.0006080606245556647,0.006020169573538927,1.0,15,3
E4,gamma_C,0.09888457655906677,0.09875982413689295,0.09900243959079186,0.00024932552290061333,0.0025213792845811865,1.0,15,3
E4,gamma_M,0.09736321369806926,0.09691262371838093,0.09777330234646797,0.0008763627570468079,0.00900096374966089,1.0,15,3
E4,gamma_V,0.09882751107215881,0.09852730454256137,0.0991680603598555,0.0006662594370185588,0.0067416393450614185,1.0,15,3
E4,mechanistic_gate_A,0.501614918311437,0.5002560729285082,0.5030604208012421,0.0029060631433714913,0.005793414504405165,1.0,15,3
E4,mechanistic_gate_C,0.48858667612075807,0.48431192164619763,0.4924318227668603,0.008198862496725249,0.016780773806240337,1.0,15,3
E4,mechanistic_gate_F,0.5039973815282186,0.49720575695236524,0.5112742657462755,0.014466859467156439,0.028704235373783277,1.0,15,3
E4,mechanistic_gate_I,0.5058876554171244,0.500995715558529,0.5108090774218241,0.0099356564199002,0.019640045202739445,1.0,15,3
E4,mechanistic_gate_M,0.4886736234029134,0.4859893769522508,0.4910693402091662,0.005182302160373056,0.010604832985021224,1.0,15,3
E4,mechanistic_gate_V,0.4914315084616343,0.48959763407707213,0.49314003691077235,0.003616827530599614,0.007359779477554556,1.0,15,3
E4,residual_scale_A,0.10122995426257451,0.10034276926269134,0.10211127530783415,0.001845738409086511,0.018233124992815437,1.0,15,3
