seed,model,transition,mmd,moment_error,sliced_wasserstein,t0,t1,mi_mean,mi_median
20260825,neural_ode,7_to_14,0.3294563293457031,0.1233014836907386,0.1284986436367035,7.0,14.0,,
20260825,neural_ode,14_to_28,0.3660458028316498,0.1343502551317215,0.1403947472572326,14.0,28.0,,
20260825,graph_neural_ode,0_to_0.25,0.0825777351856231,0.0221085585653781,0.0197362899780273,0.0,0.25,,
20260825,graph_neural_ode,0.25_to_0.5,0.0289878249168396,0.0082042934373021,0.008366584777832,0.25,0.5,,
20260825,graph_neural_ode,0.5_to_1,0.0152994096279144,0.0043034316040575,0.0046592797152698,0.5,1.0,,
20260825,graph_neural_ode,1_to_3,0.0557270646095275,0.0175427924841642,0.0172895118594169,1.0,3.0,,
20260825,graph_neural_ode,3_to_7,0.0591449737548828,0.0166847165673971,0.0143970130011439,3.0,7.0,,
20260825,graph_neural_ode,7_to_14,0.0658380985260009,0.0146196326240897,0.017550429329276,7.0,14.0,,
20260825,graph_neural_ode,14_to_28,0.0389368832111358,0.0073706642724573,0.0328592546284198,14.0,28.0,,
20260825,cardiogb,0_to_0.25,0.0646185576915741,0.0161763187497854,0.0153888911008834,0.0,0.25,0.2533249258995056,0.2466295510530471
20260825,cardiogb,0.25_to_0.5,0.0321142971515655,0.0090364497154951,0.0093022976070642,0.25,0.5,0.4016417264938354,0.3982329070568084
20260825,cardiogb,0.5_to_1,0.0155237615108489,0.0042250300757586,0.0048431013710796,0.5,1.0,0.4614935517311096,0.4567015767097473
20260825,cardiogb,1_to_3,0.0419936776161193,0.0112137645483016,0.0130540877580642,1.0,3.0,0.4148288071155548,0.4023963510990143
20260825,cardiogb,3_to_7,0.0788807570934295,0.0222890209406614,0.0194557178765535,3.0,7.0,0.5182176828384399,0.5078749060630798
20260825,cardiogb,7_to_14,0.1296310126781463,0.0339838452637195,0.0377213582396507,7.0,14.0,0.5828680992126465,0.5811389088630676
20260825,cardiogb,14_to_28,0.0309430062770843,0.0031168558634817,0.0103465477004647,14.0,28.0,0.5092487335205078,0.4997395873069763
20260826,persistence,0_to_0.25,0.1414963603019714,0.0409662574529647,0.0501492768526077,,,,
20260826,persistence,0.25_to_0.5,0.0417760014533996,0.0128315920010209,0.0156543664634227,,,,
20260826,persistence,0.5_to_1,0.0354230105876922,0.011300902813673,0.0139458049088716,,,,
20260826,persistence,1_to_3,0.0639261603355407,0.0201531779021024,0.0179987214505672,,,,
20260826,persistence,3_to_7,0.0669943690299987,0.0200807806104421,0.0270199663937091,,,,
20260826,persistence,7_to_14,0.230430781841278,0.0735657140612602,0.0632494240999221,,,,
20260826,persistence,14_to_28,0.1007371544837951,0.0281146522611379,0.0350495725870132,,,,
20260826,mechanistic_ode,0_to_0.25,0.1014754474163055,0.0258092954754829,0.033744178712368,0.0,0.25,,
20260826,mechanistic_ode,0.25_to_0.5,0.0573701858520507,0.017664885148406,0.019585920497775,0.25,0.5,,
20260826,mechanistic_ode,0.5_to_1,0.0274109542369842,0.0077748117037117,0.0081686293706297,0.5,1.0,,
20260826,mechanistic_ode,1_to_3,0.0799402892589569,0.02206108905375,0.0256700236350297,1.0,3.0,,
20260826,mechanistic_ode,3_to_7,0.1091869175434112,0.0260251276195049,0.0260785426944494,3.0,7.0,,
20260826,mechanistic_ode,7_to_14,0.5677701234817505,0.2671903669834137,0.2312014549970626,7.0,14.0,,
20260826,mechanistic_ode,14_to_28,0.3469704985618591,0.1121771931648254,0.1340383887290954,14.0,28.0,,
20260826,neural_ode,0_to_0.25,0.143488198518753,0.0416229180991649,0.0492987111210823,0.0,0.25,,
20260826,neural_ode,0.25_to_0.5,0.0386090874671936,0.0116129228845238,0.0116019463166594,0.25,0.5,,
20260826,neural_ode,0.5_to_1,0.0357942283153533,0.0116024455055594,0.0122658386826515,0.5,1.0,,
20260826,neural_ode,1_to_3,0.0280888080596923,0.0077458657324314,0.0089481407776474,1.0,3.0,,
20260826,neural_ode,3_to_7,0.0377425849437713,0.0094633689150214,0.0097361672669649,3.0,7.0,,
20260826,neural_ode,7_to_14,0.204718142747879,0.0599832199513912,0.0683912858366966,7.0,14.0,,
20260826,neural_ode,14_to_28,0.12944296002388,0.0317043289542198,0.0379571057856082,14.0,28.0,,
20260826,graph_neural_ode,0_to_0.25,0.1421630382537841,0.0411058105528354,0.0433717295527458,0.0,0.25,,
