transition,t0,t1,mmd,moment_error,sliced_wasserstein,mi_mean,mi_median,protocol,case,seed,horizon_days
0.5_to_1,0.5,1.0,0.0254851374775171,0.0074736331589519,0.0070367441512644,0.5170656442642212,0.5176257491111755,e4_group_cv,3.0,20260825,0.5
1_to_3,1.0,3.0,0.0563352033495903,0.0162046179175376,0.0157317891716957,0.4066535234451294,0.3946607112884521,e4_group_cv,3.0,20260825,2.0
3_to_7,3.0,7.0,0.0417026653885841,0.0112748676910996,0.011648847721517,0.4645431637763977,0.457652747631073,e4_group_cv,3.0,20260825,4.0
7_to_14,7.0,14.0,0.0110304541885852,0.0005330292042344,0.0024526531342417,0.7172503471374512,0.7226333022117615,e4_group_cv,3.0,20260825,7.0
14_to_28,14.0,28.0,0.0207502022385597,0.0025583701208233,0.0081732114776968,0.5609704852104187,0.533555269241333,e4_group_cv,3.0,20260825,14.0
0_to_0.25,0.0,0.25,0.0920950919389724,0.0252985302358865,0.0274032913148403,0.281234472990036,0.2617442309856415,e4_group_cv,3.0,20260826,0.25
0.25_to_0.5,0.25,0.5,0.056874543428421,0.0175804179161787,0.0183996520936489,0.4422966837882995,0.4315117001533508,e4_group_cv,3.0,20260826,0.25
0.5_to_1,0.5,1.0,0.0245225466787815,0.0072350152768194,0.0086645148694515,0.5310595035552979,0.5265594124794006,e4_group_cv,3.0,20260826,0.5
1_to_3,1.0,3.0,0.0555867664515972,0.0163708440959453,0.019336748868227,0.4304150938987732,0.4140493273735046,e4_group_cv,3.0,20260826,2.0
3_to_7,3.0,7.0,0.0370275005698204,0.010409016162157,0.0118065606802701,0.5027894377708435,0.4994943141937256,e4_group_cv,3.0,20260826,4.0
7_to_14,7.0,14.0,0.0116506107151508,0.0013119700597599,0.0044463467784225,0.6896389722824097,0.6926310062408447,e4_group_cv,3.0,20260826,7.0
14_to_28,14.0,28.0,0.0238978061825037,0.0042041377164423,0.0093956813216209,0.5186256170272827,0.5088748335838318,e4_group_cv,3.0,20260826,14.0
0_to_0.25,0.0,0.25,0.0936966091394424,0.0257215220481157,0.0324760004878044,0.2728587985038757,0.2562106251716614,e4_group_cv,3.0,20260827,0.25
0.25_to_0.5,0.25,0.5,0.0565908849239349,0.0174874160438776,0.0216172039508819,0.433744728565216,0.4260050654411316,e4_group_cv,3.0,20260827,0.25
0.5_to_1,0.5,1.0,0.0260915625840425,0.0076931547373533,0.0072053829208016,0.5238484740257263,0.5197347402572632,e4_group_cv,3.0,20260827,0.5
1_to_3,1.0,3.0,0.0508958175778389,0.0149974543601274,0.0147939817979931,0.4309960603713989,0.4116145968437195,e4_group_cv,3.0,20260827,2.0
3_to_7,3.0,7.0,0.0429755561053752,0.0119945844635367,0.0151407131925225,0.4840473532676697,0.4723930358886719,e4_group_cv,3.0,20260827,4.0
7_to_14,7.0,14.0,0.0109673589468002,0.0003842287405859,0.0028721890412271,0.7403709292411804,0.7506980299949646,e4_group_cv,3.0,20260827,7.0
14_to_28,14.0,28.0,0.0380754880607128,0.0058904690667986,0.0115091921761631,0.5615866780281067,0.5444484353065491,e4_group_cv,3.0,20260827,14.0
0_to_0.25,0.0,0.25,0.0897296965122222,0.024475835263729,0.0301975924521684,0.3115755617618561,0.2971130013465881,e4_group_cv,3.0,20260828,0.25
0.25_to_0.5,0.25,0.5,0.0593289025127887,0.0184692405164241,0.0177821032702922,0.4750249981880188,0.470508873462677,e4_group_cv,3.0,20260828,0.25
0.5_to_1,0.5,1.0,0.0222298465669155,0.0064003565348684,0.0074691935442388,0.5609720349311829,0.5608841180801392,e4_group_cv,3.0,20260828,0.5
1_to_3,1.0,3.0,0.065343752503395,0.0197158381342887,0.0201475191861391,0.440654307603836,0.4248733818531036,e4_group_cv,3.0,20260828,2.0
3_to_7,3.0,7.0,0.0432546585798263,0.0123490998521447,0.013249815441668,0.4896271228790283,0.4822275042533874,e4_group_cv,3.0,20260828,4.0
7_to_14,7.0,14.0,0.0099880006164312,0.0007801099563948,0.0039424574933946,0.695258617401123,0.7010325789451599,e4_group_cv,3.0,20260828,7.0
14_to_28,14.0,28.0,0.0142632480710744,0.0018405376467853,0.0055025899782776,0.5004605054855347,0.4939665496349334,e4_group_cv,3.0,20260828,14.0
0_to_0.25,0.0,0.25,0.0942575633525848,0.0259605068713426,0.0334853902459144,0.2348294705152511,0.2222553193569183,e4_group_cv,3.0,20260829,0.25
0.25_to_0.5,0.25,0.5,0.0562190264463424,0.0172830671072006,0.0160320978611707,0.3867200911045074,0.3813260793685913,e4_group_cv,3.0,20260829,0.25
0.5_to_1,0.5,1.0,0.0282720997929573,0.008458656258881,0.0094291996210813,0.4745765328407287,0.469574898481369,e4_group_cv,3.0,20260829,0.5
1_to_3,1.0,3.0,0.049671497195959,0.0140990652143955,0.0141148939728736,0.3724808990955353,0.3542463481426239,e4_group_cv,3.0,20260829,2.0
3_to_7,3.0,7.0,0.0431148633360862,0.0123083246871829,0.0139806950464844,0.4470353126525879,0.4376373589038849,e4_group_cv,3.0,20260829,4.0
7_to_14,7.0,14.0,0.0094904275611042,0.0004307243507355,0.0024103478062897,0.7190024256706238,0.725186288356781,e4_group_cv,3.0,20260829,7.0
14_to_28,14.0,28.0,0.0191997699439525,0.0016654445789754,0.006899147760123,0.505843997001648,0.4872331321239471,e4_group_cv,3.0,20260829,14.0
