experiment,noise_std,seed,parameter,true_value,inferred_value,absolute_error,relative_error,parameter_rmse,parameter_mae,parameter_correlation,final_loss
E5,0.0,20260816,gamma_V,0.10000000149011612,0.09970118850469589,0.00029881298542022705,0.00298812951086272,0.0010313280573146927,0.0005340864260991415,0.9999904740761163,2.629244377772011e-08
E5,0.0,20260817,alpha_A,1.0,0.999998927116394,1.0728836059570312e-06,1.0728835952281954e-06,0.00031483543423005086,0.00015849843621253967,0.9999992481329639,1.2193639431501424e-09
E5,0.0,20260817,alpha_C,0.19999998807907104,0.19985371828079224,0.0001462697982788086,0.0007313489984183903,0.00031483543423005086,0.00015849843621253967,0.9999992481329639,1.2193639431501424e-09
E5,0.0,20260817,alpha_F,0.19999998807907104,0.20080189406871796,0.0008019059896469116,0.00400952998674467,0.00031483543423005086,0.00015849843621253967,0.9999992481329639,1.2193639431501424e-09
E5,0.0,20260817,alpha_I,0.19999998807907104,0.20006945729255676,6.946921348571777e-05,0.0003473460707647245,0.00031483543423005086,0.00015849843621253967,0.9999992481329639,1.2193639431501424e-09
E5,0.0,20260817,alpha_M,0.19999998807907104,0.19998957216739655,1.0415911674499512e-05,5.207955887270322e-05,0.00031483543423005086,0.00015849843621253967,0.9999992481329639,1.2193639431501424e-09
E5,0.0,20260817,alpha_V,0.19999998807907104,0.19994424283504486,5.574524402618408e-05,0.00027872622280798677,0.00031483543423005086,0.00015849843621253967,0.9999992481329639,1.2193639431501424e-09
E5,0.0,20260817,beta_A,0.5,0.4999977946281433,2.205371856689453e-06,4.410743625164033e-06,0.00031483543423005086,0.00015849843621253967,0.9999992481329639,1.2193639431501424e-09
E5,0.0,20260817,beta_C,0.10000000149011612,0.09999533742666245,4.664063453674316e-06,4.6640629177680714e-05,0.00031483543423005086,0.00015849843621253967,0.9999992481329639,1.2193639431501424e-09
E5,0.0,20260817,beta_F,0.10000000149011612,0.10087566822767258,0.0008756667375564575,0.008756666369413442,0.00031483543423005086,0.00015849843621253967,0.9999992481329639,1.2193639431501424e-09
E5,0.0,20260817,beta_I,0.19999998807907104,0.20012888312339783,0.00012889504432678223,0.0006444752278238668,0.00031483543423005086,0.00015849843621253967,0.9999992481329639,1.2193639431501424e-09
E5,0.0,20260817,beta_M,0.05000000447034836,0.04999231919646263,7.685273885726929e-06,0.0001537054332311153,0.00031483543423005086,0.00015849843621253967,0.9999992481329639,1.2193639431501424e-09
E5,0.0,20260817,beta_V,0.10000000149011612,0.10000593215227127,5.930662155151367e-06,5.930661473711477e-05,0.00031483543423005086,0.00015849843621253967,0.9999992481329639,1.2193639431501424e-09
E5,0.0,20260817,gamma_C,0.10000000149011612,0.10015539079904556,0.00015538930892944336,0.001553892910750334,0.00031483543423005086,0.00015849843621253967,0.9999992481329639,1.2193639431501424e-09
