experiment,case,method,metric,mean,ci_lower,ci_upper,n_seeds
E3 extrapolation,horizon_11_days,calibrated CardioGB,moment_error,0.0246703684329986,0.023713266476988723,0.025192067027091918,5
E3 extrapolation,horizon_11_days,raw CardioGB,mmd,0.5283664882183075,0.46452001929283143,0.565967345237732,5
E3 extrapolation,horizon_11_days,raw CardioGB,sliced_wasserstein,0.13869604021310805,0.11781194359064102,0.15593937039375305,5
E3 extrapolation,horizon_11_days,raw CardioGB,moment_error,0.14099106639623638,0.1238762781023979,0.15081548690795893,5
E3 extrapolation,horizon_11_days,persistence,mmd,0.057144440710544496,0.057144440710544496,0.057144440710544496,5
E3 extrapolation,horizon_11_days,persistence,sliced_wasserstein,0.0197572838515043,0.017972525954246484,0.02159830853343008,5
E3 extrapolation,horizon_11_days,persistence,moment_error,0.0168465338647365,0.0168465338647365,0.0168465338647365,5
E3 extrapolation,horizon_14_days,calibrated CardioGB,mmd,0.2555792987346649,0.2522849082946777,0.25867792367935183,5
E3 extrapolation,horizon_14_days,calibrated CardioGB,sliced_wasserstein,0.08162683993577956,0.07449655234813687,0.08968235105276108,5
E3 extrapolation,horizon_14_days,calibrated CardioGB,moment_error,0.060618618875741916,0.060013791173696485,0.061216716468334154,5
E3 extrapolation,horizon_14_days,raw CardioGB,mmd,0.6772210001945496,0.6722187519073486,0.6810743689537049,5
E3 extrapolation,horizon_14_days,raw CardioGB,sliced_wasserstein,0.1671001225709915,0.15570749044418328,0.17740179300308226,5
E3 extrapolation,horizon_14_days,raw CardioGB,moment_error,0.12580766677856442,0.12554693222045896,0.12606840133666986,5
E3 extrapolation,horizon_14_days,persistence,mmd,0.10585517436265941,0.10585517436265941,0.10585517436265941,5
E3 extrapolation,horizon_14_days,persistence,sliced_wasserstein,0.03305663540959354,0.0291412882506847,0.037380769476294456,5
E3 extrapolation,horizon_14_days,persistence,moment_error,0.029762774705886796,0.029762774705886796,0.029762774705886796,5
E3 extrapolation,horizon_21_days,calibrated CardioGB,mmd,0.10825679302215571,0.10620248019695278,0.11019311845302575,5
E3 extrapolation,horizon_21_days,calibrated CardioGB,sliced_wasserstein,0.03251371644437308,0.0296049334108829,0.036517705395817696,5
E3 extrapolation,horizon_21_days,calibrated CardioGB,moment_error,0.03125072829425328,0.03056570552289478,0.031871660798788,5
E3 extrapolation,horizon_21_days,raw CardioGB,mmd,0.6870818674564362,0.5080616116523743,0.8661021232604981,5
E3 extrapolation,horizon_21_days,raw CardioGB,sliced_wasserstein,0.2267144471406936,0.1706785678863525,0.2827503263950348,5
E3 extrapolation,horizon_21_days,raw CardioGB,moment_error,0.20640123635530466,0.14810486882925025,0.26215531826019284,5
E3 extrapolation,horizon_21_days,persistence,mmd,0.0784725099802017,0.0784725099802017,0.0784725099802017,5
E3 extrapolation,horizon_21_days,persistence,sliced_wasserstein,0.02470857389271254,0.02142057716846462,0.02785533964633934,5
E3 extrapolation,horizon_21_days,persistence,moment_error,0.0236964896321296,0.0236964896321296,0.0236964896321296,5
E3 extrapolation,horizon_25_days,calibrated CardioGB,mmd,0.10405329018831252,0.10371007770299909,0.10450262129306793,5
E3 extrapolation,horizon_25_days,calibrated CardioGB,sliced_wasserstein,0.0309241991490125,0.02625692598521704,0.03623623996973032,5
E3 extrapolation,horizon_25_days,calibrated CardioGB,moment_error,0.03055490292608732,0.030460077524185124,0.03067467696964734,5
E3 extrapolation,horizon_25_days,raw CardioGB,mmd,0.8332951307296753,0.7494319677352905,0.8797852993011475,5
E3 extrapolation,horizon_25_days,raw CardioGB,sliced_wasserstein,0.28326319754123686,0.24254123568534847,0.32398515939712524,5
E3 extrapolation,horizon_25_days,raw CardioGB,moment_error,0.22763994038105012,0.21984774768352508,0.2319573104381561,5
E3 extrapolation,horizon_25_days,persistence,mmd,0.0819563865661621,0.0819563865661621,0.0819563865661621,5
E3 extrapolation,horizon_25_days,persistence,sliced_wasserstein,0.024327162653207703,0.02172096117399624,0.0262825269252061,5
E3 extrapolation,horizon_25_days,persistence,moment_error,0.0244636703282594,0.0244636703282594,0.0244636703282594,5
